filename	Mlle	Mme	Mad.	(née	(Dame	 née	 Madame	(Madame	Mademoiselle	total
1887-0062	0	0	0	0	0	0	0	0	0	0
1887-0063	0	0	0	0	0	0	0	0	0	0
1887-0064	0	0	0	0	0	0	0	0	0	0
1887-0065	0	0	0	0	0	0	0	0	0	0
1887-0066	0	0	0	0	0	0	0	0	0	0
1887-0067	0	0	0	0	0	0	0	0	0	0
1887-0068	0	0	0	0	0	0	0	0	0	0
1887-0069	0	0	0	0	0	0	0	0	0	0
1887-0070	0	0	0	0	0	0	0	0	0	0
1887-0071	0	0	0	0	0	0	0	0	0	0
1887-0072	0	0	0	0	0	0	0	0	0	0
1887-0073	0	0	0	0	0	0	0	0	0	0
1887-0074	0	0	0	0	0	0	0	0	0	0
1887-0075	0	0	0	0	0	0	0	0	0	0
1887-0076	0	0	0	0	0	0	0	0	0	0
1887-0077	0	0	0	0	0	0	0	0	0	0
1887-0078	0	0	0	0	0	0	0	0	0	0
1887-0079	0	0	0	0	0	0	0	0	0	0
1887-0080	0	0	0	0	0	0	0	0	0	0
1887-0081	0	0	0	0	0	0	0	0	0	0
1887-0082	0	0	0	0	0	0	0	0	0	0
1887-0083	0	0	0	0	0	0	0	0	0	0
1887-0084	0	0	0	0	0	0	0	0	0	0
1887-0085	0	0	0	0	0	0	0	0	0	0
1887-0086	0	0	0	0	0	0	0	0	0	0
1887-0087	0	0	0	0	0	0	0	0	0	0
1887-0088	0	0	0	0	0	0	0	0	0	0
1887-0089	0	0	0	0	0	0	0	0	0	0
1887-0090	0	0	0	0	0	0	0	0	0	0
1887-0091	0	0	0	0	0	0	0	0	0	0
1887-0092	0	0	0	0	0	0	0	0	0	0
1887-0093	0	0	0	0	0	0	0	0	0	0
1887-0094	0	0	0	0	0	0	0	0	0	0
1887-0095	0	0	0	0	0	0	0	0	0	0
1887-0096	0	0	0	0	0	0	0	0	0	0
1887-0097	0	0	0	0	0	0	0	0	0	0
1887-0098	0	0	0	0	0	0	0	0	0	0
1887-0099	0	0	0	0	0	0	0	0	0	0
1887-0100	0	0	0	0	0	0	0	0	0	0
1887-0101	0	0	0	0	0	0	0	0	0	0
1887-0102	0	0	0	0	0	0	0	0	0	0
1887-0103	0	0	0	0	0	0	0	0	0	0
1887-0104	0	0	0	0	0	0	0	0	0	0
1887-0105	0	0	0	0	0	0	0	0	0	0
1887-0106	0	0	0	0	0	0	0	0	0	0
1887-0107	0	0	0	0	0	0	0	0	0	0
1887-0108	0	0	0	0	0	0	0	0	0	0
1887-0109	0	0	0	0	0	0	0	0	0	0
1887-0110	0	0	0	0	0	0	0	0	0	0
1887-0111	0	0	0	0	0	0	0	0	0	0
1887-0112	0	0	0	0	0	0	0	0	0	0
